showID,date,corps,GEMusic2,GEMusic1,GEVisual2,GEVisual1,GETotal,VisualEnsemble,VisualColorGuard,VisualPerformance,VisualProficiency,VisualAnalysis,VisualTotal,MusicEnsemble,MusicBrass,MusicPercussion2,MusicPercussion1,MusicAnalysis,MusicTotal,Subtotal
101,8/1/2000,Cavaliers ,,18.70,,18.60,37.30,19.10,18.80,18.30,,,28.10,18.70,18.30,,18.50,,27.75,93.15
101,8/1/2000,Blue  Knights ,,17.50,,17.70,35.20,18.00,17.30,17.60,,,26.45,17.60,17.50,,17.90,,26.50,88.15
101,8/1/2000,Glassmen ,,17.40,,17.40,34.80,17.70,17.60,17.30,,,26.30,17.30,17.30,,18.20,,26.40,87.50
101,8/1/2000,Southwind ,,16.50,,15.60,32.10,16.50,17.00,16.40,,,24.95,16.70,16.50,,16.90,,25.05,82.10
101,8/1/2000,Spirit of  Atlanta ,,15.30,,15.00,30.30,15.10,16.30,15.40,,,23.40,16.40,15.70,,16.70,,24.40,78.10
101,8/1/2000,Kiwanis  Kavaliers ,,14.20,,12.80,27.00,13.50,13.40,14.00,,,20.45,12.80,13.40,,14.10,,20.15,67.60
101,8/1/2000,Spartans ,,12.50,,13.00,25.50,12.50,13.70,12.30,,,19.25,13.50,13.10,,14.50,,20.55,65.30
101,8/1/2000,Lake Erie  Regiment ,,12.30,,9.70,22.00,11.60,12.60,10.50,,,17.35,11.30,12.60,,11.20,,17.55,56.90
104,8/2/2000,Kiwanis  Kavaliers ,,13.50,,12.40,25.90,12.70,12.30,13.00,,,19.00,14.30,13.70,,14.70,,21.35,66.25
105,8/2/2000,Cavaliers ,,18.80,,19.00,37.80,19.00,19.20,18.10,,,28.15,18.70,18.80,,19.10,,28.30,94.25
105,8/2/2000,Crossmen ,,17.20,,17.80,35.00,17.60,17.80,17.30,,,26.35,16.50,17.30,,17.50,,25.65,87.00
105,8/2/2000,Madison  Scouts ,,17.80,,16.70,34.50,16.60,16.80,16.70,,,25.05,16.30,17.10,,17.20,,25.30,84.85
105,8/2/2000,Carolina  Crown ,,16.40,,16.80,33.20,17.00,17.40,16.20,,,25.30,16.10,16.80,,17.90,,25.40,83.90
105,8/2/2000,Pioneer ,,13.60,,14.50,28.10,14.30,15.10,14.90,,,22.15,14.70,16.20,,16.30,,23.60,73.85
105,8/2/2000,Tarheel  Sun ,,12.30,,14.80,27.10,13.20,13.00,13.50,,,19.85,11.00,15.20,,15.60,,20.90,67.85
105,8/2/2000,Pride of  Soka ,,10.40,,12.20,22.60,12.70,13.30,12.30,,,19.15,10.40,12.50,,11.00,,16.95,58.70
105,8/2/2000,Beatrix ,,10.90,,11.60,22.50,11.20,12.70,11.60,,,17.75,10.70,12.00,,10.60,,16.65,56.90
106,8/2/2000,Cadets ,,18.70,,18.80,37.50,18.80,19.10,18.50,,,28.20,18.70,18.70,,18.70,,28.10,93.80
106,8/2/2000,Glassmen ,,17.80,,17.80,35.60,17.90,17.70,17.20,,,26.40,17.60,16.80,,18.30,,26.40,88.40
106,8/2/2000,Southwind ,,17.10,,16.80,33.90,16.10,16.20,14.50,,,23.40,16.40,16.20,,16.20,,24.40,81.70
106,8/2/2000,Spartans ,,14.00,,12.60,26.60,13.30,14.60,11.40,,,19.70,14.00,12.30,,14.10,,20.20,66.50
106,8/2/2000,Blue  Stars ,,11.70,,11.50,23.20,13.70,14.80,12.50,,,20.50,13.70,12.80,,14.50,,21.05,64.20
106,8/2/2000,Yamato ,,11.20,,11.40,22.60,12.70,11.70,11.70,,,18.10,12.50,10.60,,13.70,,18.40,59.10
106,8/2/2000,Tampa Bay  Thunder ,,10.70,,10.80,21.50,12.00,10.80,10.30,,,16.60,11.80,9.30,,13.40,,17.30,55.40
107,8/2/2000,Vanguard ,,18.00,,17.70,35.70,18.00,18.10,17.90,,,27.00,18.10,18.00,,17.70,,26.90,89.60
107,8/2/2000,Blue  Knights ,,17.40,,17.80,35.20,17.20,17.90,17.20,,,26.15,17.70,17.70,,18.00,,26.70,88.05
107,8/2/2000,Boston  Crusaders ,,17.70,,17.60,35.30,17.60,17.40,17.40,,,26.20,17.90,16.80,,17.40,,26.05,87.55
107,8/2/2000,Phantom  Regiment ,,17.30,,17.00,34.30,17.00,17.60,17.00,,,25.80,18.00,17.60,,18.30,,26.95,87.05
107,8/2/2000,Bluecoats ,,17.10,,16.60,33.70,16.10,16.90,16.20,,,24.60,17.10,17.10,,17.20,,25.70,84.00
107,8/2/2000,Spirit of  Atlanta ,,15.70,,14.50,30.20,15.00,14.40,15.40,,,22.40,15.50,15.70,,16.40,,23.80,76.40
107,8/2/2000,Troopers ,,13.40,,13.70,27.10,14.30,13.40,14.00,,,20.85,14.40,14.50,,15.00,,21.95,69.90
107,8/2/2000,Vanguard  Cadets ,,12.10,,11.90,24.00,14.10,16.10,13.00,,,21.60,14.70,14.80,,14.50,,22.00,67.60
109,8/3/2000,Blue  Knights ,,17.70,,17.90,35.60,17.50,17.90,17.50,,,26.45,17.40,17.70,,18.20,,26.65,88.70
109,8/3/2000,Boston  Crusaders ,,18.10,,17.70,35.80,17.10,17.80,18.00,,,26.45,17.60,17.60,,17.50,,26.35,88.60
109,8/3/2000,Phantom  Regiment ,,17.40,,17.40,34.80,16.90,17.40,17.10,,,25.70,17.80,18.00,,18.50,,27.15,87.65
109,8/3/2000,Bluecoats ,,17.20,,17.00,34.20,16.50,17.00,16.30,,,24.00,17.00,17.20,,17.30,,25.75,84.85
109,8/3/2000,Spirit of  Atlanta ,,15.70,,15.20,30.90,15.10,15.00,15.50,,,22.80,15.70,15.40,,16.60,,23.85,77.55
109,8/3/2000,Troopers ,,14.60,,13.00,27.60,13.40,13.00,14.20,,,20.30,15.00,14.20,,15.30,,22.30,70.20
109,8/3/2000,East Coast  Jazz ,,13.20,,13.20,26.40,12.30,13.40,11.50,,,18.60,12.40,10.50,,9.60,,16.25,61.25
110,8/3/2000,Cadets ,,19.00,,18.70,37.70,18.50,19.00,19.40,,,28.45,19.20,18.70,,18.60,,28.25,94.40
110,8/3/2000,Vanguard ,,18.10,,18.40,36.50,18.10,18.50,19.00,,,27.80,18.80,18.10,,18.40,,27.65,91.95
110,8/3/2000,Southwind ,,16.60,,15.80,32.40,16.40,16.30,17.00,,,24.85,16.70,16.60,,16.00,,24.65,81.90
110,8/3/2000,Blue  Stars ,,14.00,,14.90,28.90,13.90,14.30,12.10,,,20.15,14.30,13.40,,14.20,,20.95,70.00
110,8/3/2000,Taipei  Yuehfu ,,13.00,,14.20,27.20,13.60,15.00,12.30,,,20.45,12.70,12.30,,10.00,,17.50,65.15
110,8/3/2000,Teal  Sound ,,12.70,,11.90,24.60,10.60,11.90,10.60,,,16.55,12.10,12.20,,11.10,,17.70,58.85
114,8/4/2000,Cavaliers ,,18.40,,18.70,37.10,18.90,19.20,18.40,,,28.25,18.80,19.00,,19.00,,28.40,93.75
114,8/4/2000,Blue  Devils ,,18.70,,18.50,37.20,19.00,19.10,18.20,,,28.15,19.10,18.90,,18.60,,28.30,93.65
114,8/4/2000,Blue  Knights ,,18.10,,18.00,36.10,17.60,18.00,17.30,,,26.45,17.90,17.70,,18.40,,27.00,89.55
114,8/4/2000,Glassmen ,,18.20,,17.80,36.00,18.20,17.80,16.80,,,26.40,18.40,17.20,,18.20,,26.90,89.30
114,8/4/2000,Colts ,,16.90,,16.70,33.60,16.40,16.90,15.60,,,24.45,16.90,14.40,,17.00,,24.15,82.20
114,8/4/2000,Spirit of  Atlanta ,,16.20,,15.20,31.40,15.50,15.70,14.60,,,22.90,16.50,14.90,,16.70,,24.05,78.35
114,8/4/2000,Pioneer ,,15.40,,14.90,30.30,15.30,14.60,14.80,,,22.35,15.70,14.20,,15.60,,22.75,75.40
114,8/4/2000,Troopers ,,14.90,,14.60,29.50,14.80,14.10,14.10,,,21.50,15.40,12.00,,14.70,,21.05,72.05
114,8/4/2000,Kiwanis  Kavaliers ,,14.40,,14.10,28.50,14.60,13.50,13.90,,,21.00,14.50,12.90,,13.40,,20.40,69.90
114,8/4/2000,Tarheel  Sun ,,13.30,,13.80,27.10,13.90,12.70,13.20,,,19.90,13.60,11.60,,13.60,,19.40,66.40
114,8/4/2000,Beatrix ,,12.60,,12.80,25.40,13.60,12.20,12.40,,,19.10,13.20,10.20,,12.00,,17.70,62.20
115,8/5/2000,Cadets ,,18.70,,18.80,37.50,18.60,19.40,18.70,,,28.35,18.60,18.90,,18.40,,27.95,93.80
115,8/5/2000,Vanguard ,,18.50,,18.40,36.90,18.30,18.90,18.30,,,27.75,18.80,18.10,,18.70,,27.80,92.45
115,8/5/2000,Boston  Crusaders ,,18.20,,17.90,36.10,17.40,18.50,17.70,,,26.80,18.00,17.30,,17.40,,26.35,89.25
115,8/5/2000,Phantom  Regiment ,,17.60,,17.40,35.00,17.00,17.50,17.50,,,26.00,18.30,18.30,,18.50,,27.55,88.55
115,8/5/2000,Crossmen ,,17.20,,17.50,34.70,17.50,18.20,17.30,,,26.50,17.30,17.50,,16.40,,25.60,86.80
115,8/5/2000,Bluecoats ,,17.40,,17.00,34.40,16.90,16.50,16.80,,,25.10,17.40,17.70,,17.10,,26.10,85.60
115,8/5/2000,Madison  Scouts ,,16.90,,17.10,34.00,16.40,16.30,17.20,,,24.95,17.90,17.40,,17.30,,26.30,85.25
115,8/5/2000,Carolina  Crown ,,16.60,,17.20,33.80,17.10,17.80,16.60,,,25.75,16.40,16.80,,17.70,,25.45,85.00
115,8/5/2000,Southwind ,,17.00,,15.80,32.80,16.00,16.40,16.40,,,24.40,16.60,17.10,,16.20,,24.95,82.15
115,8/5/2000,Taipei  Yuehfu ,,13.20,,12.30,25.50,11.80,14.30,13.40,,,19.75,12.80,13.50,,12.60,,19.45,64.70
115,8/5/2000,Pride of  Soka ,,13.80,,12.70,26.50,11.40,15.60,12.90,,,19.95,12.50,13.70,,12.80,,19.50,65.95
118,8/6/2000,Cavaliers ,,18.90,,19.10,38.00,19.10,19.00,18.90,,,28.50,19.10,19.00,,18.90,,28.50,95.00
118,8/6/2000,Blue  Knights ,,18.10,,18.20,36.30,17.50,18.10,18.00,,,26.80,17.80,18.10,,18.60,,27.25,90.35
118,8/6/2000,Glassmen ,,17.90,,17.80,35.70,17.20,17.60,17.20,,,26.00,17.60,18.00,,18.20,,26.90,88.60
118,8/6/2000,Madison  Scouts ,,17.10,,17.00,34.10,16.80,15.90,17.40,,,25.05,17.20,17.60,,17.40,,26.10,85.25
